0, 0, Header, 0, 1, 480
1, 0, Start_track
1, 0, Channel_prefix, 9
1, 0, Title_t, "SoCal"
1, 0, Instrument_name_t, "Inst 2"
1, 0, Time_signature, 4, 2, 24, 8
1, 0, Key_signature, 0, "major"
1, 0, SMPTE_offset, 32, 0, 0, 0, 0
1, 0, Tempo, 461538
1, 17, Control_c, 9, 4, 76
1, 18, Note_on_c, 9, 44, 100
1, 51, Control_c, 9, 4, 120
1, 82, Control_c, 9, 4, 106
1, 102, Control_c, 9, 16, 0
1, 103, Note_on_c, 9, 38, 26
1, 122, Note_off_c, 9, 44, 64
1, 129, Control_c, 9, 4, 99
1, 207, Note_off_c, 9, 38, 64
1, 227, Control_c, 9, 17, 59
1, 228, Note_on_c, 9, 51, 78
1, 263, Control_c, 9, 4, 110
1, 313, Control_c, 9, 4, 104
1, 332, Note_off_c, 9, 51, 64
1, 338, Note_on_c, 9, 36, 63
1, 353, Control_c, 9, 4, 100
1, 442, Note_off_c, 9, 36, 64
1, 444, Control_c, 9, 4, 104
1, 455, Control_c, 9, 16, 0
1, 456, Note_on_c, 9, 38, 28
1, 559, Control_c, 9, 4, 106
1, 560, Note_on_c, 9, 26, 67
1, 561, Note_off_c, 9, 38, 64
1, 622, Control_c, 9, 4, 110
1, 663, Control_c, 9, 17, 49
1, 664, Note_on_c, 9, 51, 80
1, 665, Note_off_c, 9, 26, 64
1, 668, Control_c, 9, 4, 106
1, 714, Control_c, 9, 4, 110
1, 767, Control_c, 9, 16, 0
1, 768, Note_on_c, 9, 38, 31
1, 769, Note_off_c, 9, 51, 64
1, 871, Note_off_c, 9, 38, 64
1, 882, Note_on_c, 9, 36, 63
1, 884, Control_c, 9, 4, 106
1, 987, Note_off_c, 9, 36, 64
1, 998, Control_c, 9, 16, 0
1, 999, Note_on_c, 9, 38, 32
1, 1103, Note_off_c, 9, 38, 64
1, 1105, Control_c, 9, 17, 50
1, 1106, Note_on_c, 9, 51, 95
1, 1209, Note_off_c, 9, 51, 64
1, 1224, Note_on_c, 9, 36, 58
1, 1328, Note_off_c, 9, 36, 64
1, 1355, Control_c, 9, 16, 0
1, 1356, Note_on_c, 9, 38, 30
1, 1451, Control_c, 9, 4, 102
1, 1452, Note_on_c, 9, 26, 36
1, 1460, Note_off_c, 9, 38, 64
1, 1556, Note_off_c, 9, 26, 64
1, 1559, Control_c, 9, 17, 105
1, 1560, Note_on_c, 9, 51, 71
1, 1664, Note_off_c, 9, 51, 64
1, 1679, Control_c, 9, 16, 0
1, 1680, Note_on_c, 9, 38, 37
1, 1783, Note_off_c, 9, 38, 64
1, 1804, Note_on_c, 9, 36, 57
1, 1892, Control_c, 9, 4, 108
1, 1899, Control_c, 9, 16, 0
1, 1908, Note_off_c, 9, 36, 64
1, 1920, End_track
0, 0, End_of_file
